,Unnamed: 0,Combination,Global_Accuracy(%)_zero,Global_Latency_Sum(ms)_zero,New_Combination_zero,Numeric_Tuple,New_Combination_sim,Global_Accuracy(%)_sim,Global_DataVolume,Global_Latency_Sum(ms)_sim,Global_RoundTime_Max(ms),Computation_Time(ms),Numerical_Combination,Global_Accuracy(%)_history,Global_Latency_Sum(ms)_history
434,434,C1-C2-C3,41.2643,8057.405,C1-C2-C3-C17-C18,"(1, 2, 3, 17, 18)",C1-C2-C3-C17-C18,31.859999895095825,13990,10732.831239700316,2332.594633102417,15287.896394729614,1-2-3-17-18,77.368,8512.76
435,435,C3-C4-C5-C10,51.91264,10444.575,C3-C4-C5-C10-C18,"(3, 4, 5, 10, 18)",C3-C4-C5-C10-C18,20.37999927997589,13985,10703.004837036133,2288.311004638672,15290.385723114014,3-4-5-10-18,72.584,8558.789999999999
436,436,C2-C6-C8,35.35805,8837.509,C2-C6-C8-C19-C24,"(2, 6, 8, 19, 24)",C2-C6-C8-C19-C24,42.12000072002411,13982,10922.035932540894,2316.450595855713,15253.486156463625,2-6-8-19-24,74.268,8453.58
437,437,C6-C7-C9,44.2597,10321.191,C6-C7-C9-C16-C23,"(6, 7, 9, 16, 23)",C6-C7-C9-C16-C23,28.83000075817108,13992,10536.402225494385,2226.3314723968506,15188.039302825928,6-7-9-16-23,76.968,8456.24
438,438,C2-C7-C10,44.525085,9393.018,C2-C7-C10-C18-C25,"(2, 7, 10, 18, 25)",C2-C7-C10-C18-C25,11.69999986886978,13985,10832.085847854614,2312.5221729278564,15104.567527770996,2-7-10-18-25,76.462,8424.050000000001
439,439,C3-C4-C9-C10,49.717804,10939.735,C3-C4-C9-C10-C23,"(3, 4, 9, 10, 23)",C3-C4-C9-C10-C23,40.549999475479126,13990,11098.168849945068,2356.387138366699,15475.341081619265,3-4-9-10-23,78.334,8444.08
440,440,C6-C9-C10,45.985558,10545.94,C6-C9-C10-C18-C24,"(6, 9, 10, 18, 24)",C6-C9-C10-C18-C24,21.369999647140503,13981,10665.422439575195,2307.6155185699463,15078.635692596436,6-9-10-18-24,73.21799999999999,8419.890000000001
441,441,C3-C4-C6,40.93049,9169.814,C3-C4-C6-C15-C21,"(3, 4, 6, 15, 21)",C3-C4-C6-C15-C21,41.85000061988831,13991,10970.883131027222,2410.1402759552,15340.583562850952,3-4-6-15-21,76.19800000000001,8488.8
442,442,C1-C2-C5-C9,47.767212,10379.537,C1-C2-C5-C9-C25,"(1, 2, 5, 9, 25)",C1-C2-C5-C9-C25,38.749998807907104,13995,10779.79612350464,2381.70862197876,15306.954860687256,1-2-5-9-25,80.55199999999999,8594.6
443,443,C4-C7-C9,44.1705,9649.806,C4-C7-C9-C24-C25,"(4, 7, 9, 24, 25)",C4-C7-C9-C24-C25,26.06000006198883,13990,10735.390901565552,2352.01096534729,15197.511672973633,4-7-9-24-25,79.44,8409.25
444,444,C1-C3-C10,40.051563,8493.533,C1-C3-C10-C20-C22,"(1, 3, 10, 20, 22)",C1-C3-C10-C20-C22,21.570000052452087,13984,11084.8388671875,2321.402311325073,15318.267345428469,1-3-10-20-22,79.922,8717.689999999999
445,445,C1-C4-C10,40.021866,8521.653,C1-C4-C10-C19-C25,"(1, 4, 10, 19, 25)",C1-C4-C10-C19-C25,33.84999930858612,13990,10671.627283096312,2369.027614593506,15228.413581848145,1-4-10-19-25,79.588,8472.37
446,446,C1-C3-C7-C8,48.118145,10056.753,C1-C3-C7-C8-C17,"(1, 3, 7, 8, 17)",C1-C3-C7-C8-C17,38.6900007724762,13996,10756.478309631348,2306.6859245300293,15108.937978744509,1-3-7-8-17,78.378,8500.470000000001
447,447,C7-C8-C9-C10,47.64447,11299.471,C7-C8-C9-C10-C24,"(7, 8, 9, 10, 24)",C7-C8-C9-C10-C24,46.23999893665314,13986,10800.748348236084,2281.038999557495,15060.506582260132,7-8-9-10-24,76.72,8402.76
448,448,C2-C4-C9,40.25308,8907.163,C2-C4-C9-C20-C23,"(2, 4, 9, 20, 23)",C2-C4-C9-C20-C23,33.30000042915344,13984,10518.946170806885,2300.621509552002,15299.147367477415,2-4-9-20-23,79.386,8688.7
449,449,C3-C4-C8,38.2127,8867.924,C3-C4-C8-C15-C17,"(3, 4, 8, 15, 17)",C3-C4-C8-C15-C17,53.82999777793884,13991,10896.64888381958,2377.646446228028,15357.42211341858,3-4-8-15-17,76.006,8435.4
450,450,C5-C8-C10,40.64581,10191.792,C5-C8-C10-C16-C24,"(5, 8, 10, 16, 24)",C5-C8-C10-C16-C24,25.7999986410141,13982,11020.487070083618,2393.28932762146,15410.428524017334,5-8-10-16-24,73.22600000000001,8521.77
451,451,C1-C6-C9,40.839252,8591.252,C1-C6-C9-C17-C21,"(1, 6, 9, 17, 21)",C1-C6-C9-C17-C21,31.11000061035156,13996,10957.862854003906,2378.1661987304688,15191.83897972107,1-6-9-17-21,79.988,8519.800000000001
452,452,C5-C6-C10,43.792343,10303.885,C5-C6-C10-C23-C24,"(5, 6, 10, 23, 24)",C5-C6-C10-C23-C24,43.6599999666214,13986,10585.5815410614,2228.749990463257,15501.440525054932,5-6-10-23-24,75.924,8571.58
453,453,C3-C8-C9,38.562515,9515.055,C3-C8-C9-C23-C24,"(3, 8, 9, 23, 24)",C3-C8-C9-C23-C24,16.750000417232513,13991,10866.530179977415,2416.678667068481,15197.113275527954,3-8-9-23-24,77.916,8431.300000000001
454,454,C3-C8-C10,40.144657,9538.438,C3-C8-C10-C23-C25,"(3, 8, 10, 23, 25)",C3-C8-C10-C23-C25,32.589998841285706,13991,10888.559818267822,2311.281204223633,15268.820524215698,3-8-10-23-25,77.596,8422.720000000001
455,455,C3-C6-C10,46.071476,9688.7295,C3-C6-C10-C15-C20,"(3, 6, 10, 15, 20)",C3-C6-C10-C15-C20,41.49999916553497,13985,11006.57868385315,2346.1270332336426,15343.66250038147,3-6-10-15-20,76.19800000000001,8672.93
456,456,C3-C5-C7,40.870586,9423.748,C3-C5-C7-C22-C24,"(3, 5, 7, 22, 24)",C3-C5-C7-C22-C24,27.61000096797943,13990,10745.905637741089,2246.0033893585205,15580.560684204102,3-5-7-22-24,78.78200000000001,8558.18
457,457,C4-C5-C6,41.42836,9622.199,C4-C5-C6-C21-C24,"(4, 5, 6, 21, 24)",C4-C5-C6-C21-C24,27.32000052928925,13986,10763.42511177063,2367.136001586914,15289.217710494995,4-5-6-21-24,75.002,8598.44
458,458,C1-C2-C4,37.30594,8372.807,C1-C2-C4-C19-C24,"(1, 2, 4, 19, 24)",C1-C2-C4-C19-C24,36.01999878883362,13985,11001.834630966188,2375.128984451294,15492.249727249146,1-2-4-19-24,79.05600000000001,8510.45
459,459,C5-C9-C10,46.840446,10236.243,C5-C9-C10-C17-C25,"(5, 9, 10, 17, 25)",C5-C9-C10-C17-C25,21.75000011920929,13995,10885.996103286743,2351.91011428833,15157.588958740234,5-9-10-17-25,79.934,8504.11
460,460,C2-C4-C8-C9,43.8918,10452.747,C2-C4-C8-C9-C23,"(2, 4, 8, 9, 23)",C2-C4-C8-C9-C23,35.31000018119812,13986,11025.56085586548,2381.192445755005,15436.947584152222,2-4-8-9-23,76.488,8454.92
461,461,C2-C3-C8,36.680256,8401.282,C2-C3-C8-C24-C25,"(2, 3, 8, 24, 25)",C2-C3-C8-C24-C25,37.02000081539154,13986,10812.901973724363,2557.5568675994878,15493.51954460144,2-3-8-24-25,76.83,8424.31
462,462,C3-C8-C9,40.20474,9389.979,C3-C8-C9-C21-C23,"(3, 8, 9, 21, 23)",C3-C8-C9-C21-C23,43.18000078201294,13996,10698.544263839722,2306.6718578338623,15196.089267730713,3-8-9-21-23,79.096,8461.95
463,463,C4-C5-C9,47.40383,9956.443,C4-C5-C9-C18-C20,"(4, 5, 9, 18, 20)",C4-C5-C9-C18-C20,31.290000677108765,13984,10858.611345291138,2373.213768005371,15149.701595306396,4-5-9-18-20,74.488,8773.91
464,464,C1-C2-C9,40.695095,8742.024,C1-C2-C9-C16-C23,"(1, 2, 9, 16, 23)",C1-C2-C9-C16-C23,25.42000114917755,13991,10909.823894500732,2384.17387008667,15342.480659484863,1-2-9-16-23,80.086,8505.210000000001
465,465,C6-C7-C8,41.827442,9427.485,C6-C7-C8-C16-C18,"(6, 7, 8, 16, 18)",C6-C7-C8-C16-C18,29.06000018119812,13983,11382.864713668823,2626.8630027771,37118.68619918823,6-7-8-16-18,69.484,8445.980000000001
466,466,C3-C6-C7,43.102768,9416.243,C3-C6-C7-C15-C25,"(3, 6, 7, 15, 25)",C3-C6-C7-C15-C25,25.209999084472656,13996,12245.562076568604,2629.39715385437,16959.147691726685,3-6-7-15-25,77.958,8443.03
467,467,C2-C5-C8,34.55853,8782.433,C2-C5-C8-C16-C22,"(2, 5, 8, 16, 22)",C2-C5-C8-C16-C22,33.53999853134155,13982,11808.651208877563,2544.355154037476,16751.294374465942,2-5-8-16-22,74.314,8551.72
468,468,C3-C4-C6,39.637222,9104.2,C3-C4-C6-C20-C22,"(3, 4, 6, 20, 22)",C3-C4-C6-C20-C22,24.740000069141388,13980,11457.663297653198,2549.4892597198486,16150.10929107666,3-4-6-20-22,75.336,8696.9
469,469,C6-C8-C10,40.91117,10278.484,C6-C8-C10-C24-C25,"(6, 8, 10, 24, 25)",C6-C8-C10-C24-C25,25.360000133514404,13982,11182.727098464966,2324.244499206543,16092.703580856323,6-8-10-24-25,73.956,8410.12
470,470,C1-C2-C6-C7,46.59727,10428.501,C1-C2-C6-C7-C19,"(1, 2, 6, 7, 19)",C1-C2-C6-C7-C19,29.64000105857849,13991,11530.054569244385,2516.0717964172363,15959.980010986328,1-2-6-7-19,78.32199999999999,8535.14
471,471,C2-C4-C9,40.49382,8927.261,C2-C4-C9-C15-C19,"(2, 4, 9, 15, 19)",C2-C4-C9-C15-C19,45.15999853610992,13990,11522.19033241272,2540.438413619995,15881.359815597534,2-4-9-15-19,79.294,8435.73
472,472,C1-C7-C10,42.784637,8672.833,C1-C7-C10-C17-C19,"(1, 7, 10, 17, 19)",C1-C7-C10-C17-C19,37.27999925613403,13995,11486.303091049194,2443.575620651245,16192.911863327026,1-7-10-17-19,81.424,8485.63
473,473,C7-C9-C10,51.01769,10424.685,C7-C9-C10-C17-C20,"(7, 9, 10, 17, 20)",C7-C9-C10-C17-C20,30.149999260902405,13989,11391.998767852783,2503.00931930542,15732.29718208313,7-9-10-17-20,80.518,8639.9
474,474,C2-C4-C7,38.70999,8985.115,C2-C4-C7-C19-C24,"(2, 4, 7, 19, 24)",C2-C4-C7-C19-C24,34.16000008583069,13985,11944.91958618164,2522.4251747131348,16257.460594177246,2-4-7-19-24,78.43,8456.640000000001
475,475,C1-C7-C8,40.896267,8465.31,C1-C7-C8-C17-C20,"(1, 7, 8, 17, 20)",C1-C7-C8-C17-C20,25.54999887943268,13990,11377.312660217283,2506.154060363769,16007.026195526125,1-7-8-17-20,78.96000000000001,8719.52
476,476,C2-C4-C7,37.4632,9181.861,C2-C4-C7-C16-C24,"(2, 4, 7, 16, 24)",C2-C4-C7-C16-C24,27.59999930858612,13981,10465.436935424805,2334.8097801208496,14606.087684631348,2-4-7-16-24,76.036,8451.54
477,477,C5-C7-C10,46.499695,10177.381,C5-C7-C10-C17-C25,"(5, 7, 10, 17, 25)",C5-C7-C10-C17-C25,22.120000422000885,13995,10326.546430587769,2254.4639110565186,14718.52970123291,5-7-10-17-25,79.684,8525.62
478,478,C2-C4-C7,38.683926,8919.723,C2-C4-C7-C17-C22,"(2, 4, 7, 17, 22)",C2-C4-C7-C17-C22,40.99000096321106,13985,11396.299600601196,2635.711431503296,16122.734546661375,2-4-7-17-22,79.104,8459.0
479,479,C1-C4-C8,35.47551,8496.078,C1-C4-C8-C18-C24,"(1, 4, 8, 18, 24)",C1-C4-C8-C18-C24,41.96999967098236,13981,10952.565670013428,2389.6758556365967,15612.07628250122,1-4-8-18-24,72.816,8489.29
480,480,C5-C6-C7-C9,50.828888,11198.235,C5-C6-C7-C9-C19,"(5, 6, 7, 9, 19)",C5-C6-C7-C9-C19,49.21999871730805,13996,11558.12382698059,2467.849016189575,15787.044525146484,5-6-7-9-19,77.276,8563.52
481,481,C4-C7-C8,40.77363,9423.736,C4-C7-C8-C17-C25,"(4, 7, 8, 17, 25)",C4-C7-C8-C17-C25,38.92000019550324,13991,11475.636720657349,2395.883798599243,15912.26291656494,4-7-8-17-25,77.084,8420.84
482,482,C4-C6-C8,40.932487,8879.637,C4-C6-C8-C15-C18,"(4, 6, 8, 15, 18)",C4-C6-C8-C15-C18,27.340000867843628,13982,11156.900644302368,2460.444211959839,15772.51148223877,4-6-8-15-18,69.71,8448.91
483,483,C3-C5-C6,41.98933,9291.527,C3-C5-C6-C15-C25,"(3, 5, 6, 15, 25)",C3-C5-C6-C15-C25,34.92000102996826,13996,10953.78589630127,2366.607189178467,15420.2299118042,3-5-6-15-25,76.686,8554.72
484,484,C3-C4-C6,41.309467,9164.644,C3-C4-C6-C17-C25,"(3, 4, 6, 17, 25)",C3-C4-C6-C17-C25,27.390000224113464,13991,11183.878660202026,2447.381496429444,15811.865091323853,3-4-6-17-25,76.30600000000001,8448.4
485,485,C1-C2-C4-C9,47.579792,9871.529,C1-C2-C4-C9-C18,"(1, 2, 4, 9, 18)",C1-C2-C4-C9-C18,37.36000061035156,13985,11370.863199234009,2456.283569335937,15966.033697128296,1-2-4-9-18,75.892,8503.52
486,486,C4-C7-C8,40.35469,9307.504,C4-C7-C8-C16-C17,"(4, 7, 8, 16, 17)",C4-C7-C8-C16-C17,51.82999968528748,13987,11179.865598678589,2478.1200885772705,15620.659351348875,4-7-8-16-17,74.53200000000001,8433.63
487,487,C1-C4-C7,40.020405,8409.739,C1-C4-C7-C15-C21,"(1, 4, 7, 15, 21)",C1-C4-C7-C15-C21,36.480000615119934,13995,11456.629037857056,2469.8641300201416,15651.049375534058,1-4-7-15-21,80.60799999999999,8528.33
488,488,C2-C8-C9,36.644005,8995.503,C2-C8-C9-C21-C22,"(2, 8, 9, 21, 22)",C2-C8-C9-C21-C22,37.81000077724457,13986,11080.172300338743,2444.875240325928,15806.063175201416,2-8-9-21-22,78.566,8448.89
489,489,C2-C4-C5-C9,47.98956,10741.161,C2-C4-C5-C9-C15,"(2, 4, 5, 9, 15)",C2-C4-C5-C9-C15,33.75000059604645,13990,11260.339260101318,2463.933229446411,15866.40214920044,2-4-5-9-15,77.60000000000001,8556.51
490,490,C2-C6-C10,43.98699,9318.874,C2-C6-C10-C18-C23,"(2, 6, 10, 18, 23)",C2-C6-C10-C18-C23,33.61000120639801,13981,11170.575618743896,2386.4691257476807,15602.760791778564,2-6-10-18-23,73.602,8473.37
491,491,C3-C5-C9,44.61973,9613.012,C3-C5-C9-C16-C20,"(3, 5, 9, 16, 20)",C3-C5-C9-C16-C20,21.10999971628189,13990,10942.675828933716,2324.6946334838867,15751.380681991575,3-5-9-16-20,77.178,8767.539999999999
492,492,C2-C5-C9,44.188805,9230.902,C2-C5-C9-C15-C20,"(2, 5, 9, 15, 20)",C2-C5-C9-C15-C20,24.369999766349792,13989,11044.926166534424,2454.3848037719727,15358.585596084597,2-5-9-15-20,79.43,8774.400000000001
493,493,C1-C7-C9-C10,51.720856,10159.582,C1-C7-C9-C10-C18,"(1, 7, 9, 10, 18)",C1-C7-C9-C10-C18,41.4900004863739,13990,11212.780952453611,2434.243440628052,15496.556520462036,1-7-9-10-18,77.35999999999999,8475.34
494,494,C2-C6-C9,39.716442,9223.01,C2-C6-C9-C23-C24,"(2, 6, 9, 23, 24)",C2-C6-C9-C23-C24,36.84000074863434,13986,11069.671869277954,2424.726724624634,15431.63776397705,2-6-9-23-24,77.916,8463.95
495,495,C2-C5-C7,41.313187,9012.732,C2-C5-C7-C17-C19,"(2, 5, 7, 17, 19)",C2-C5-C7-C17-C19,41.01000130176544,13995,10588.79566192627,2302.173376083374,15190.996170043943,2-5-7-17-19,79.996,8569.08
496,496,C4-C6-C8-C9,46.674164,10765.431,C4-C6-C8-C9-C23,"(4, 6, 8, 9, 23)",C4-C6-C8-C9-C23,39.169999957084656,13987,11256.85739517212,2446.941614151001,15630.279779434204,4-6-8-9-23,73.99600000000001,8459.76
497,497,C1-C5-C9,42.014683,8312.842,C1-C5-C9-C17-C18,"(1, 5, 9, 17, 18)",C1-C5-C9-C17-C18,11.93000003695488,13995,11274.204730987549,2447.407007217407,15649.510383605955,1-5-9-17-18,77.63799999999999,8593.5
498,498,C3-C5-C7,41.57269,9418.962,C3-C5-C7-C20-C24,"(3, 5, 7, 20, 24)",C3-C5-C7-C20-C24,24.959999322891235,13989,10941.86234474182,2372.4985122680664,15599.461317062378,3-5-7-20-24,78.478,8788.77
499,499,C4-C8-C10,41.310368,9767.64,C4-C8-C10-C17-C21,"(4, 8, 10, 17, 21)",C4-C8-C10-C17-C21,17.45000034570694,13986,11019.58966255188,2378.0558109283447,15179.105520248411,4-8-10-17-21,76.19,8446.42
