,Unnamed: 0,Combination,Global_Accuracy(%)_zero,Global_Latency_Sum(ms)_zero,New_Combination_zero,Numeric_Tuple,New_Combination_sim,Global_Accuracy(%)_sim,Global_DataVolume,Global_Latency_Sum(ms)_sim,Global_RoundTime_Max(ms),Computation_Time(ms),Numerical_Combination,Global_Accuracy(%)_history,Global_Latency_Sum(ms)_history
299,299,C2-C3-C9,14.679415,12625.409,C2-C3-C9-C17-C20,"(2, 3, 9, 17, 20)",C2-C3-C9-C17-C20,11.230000108480452,11993,12841.990947723389,2593.291759490967,18958.0500125885,2-3-9-17-20,35.412,13134.76
300,300,C3-C5-C7,17.556826,12925.886,C3-C5-C7-C19-C20,"(3, 5, 7, 19, 20)",C3-C5-C7-C19-C20,11.320000141859056,11997,12807.044982910156,2578.6449909210205,19127.34889984131,3-5-7-19-20,29.788,12768.19
301,301,C4-C6-C7-C9,25.60016,14827.421,C4-C6-C7-C9-C15,"(4, 6, 7, 9, 15)",C4-C6-C7-C9-C15,11.320000141859056,11990,12613.44861984253,2567.542791366577,18846.636295318604,4-6-7-9-15,28.216,12962.61
302,302,C1-C2-C4-C9,21.87892,14019.747,C1-C2-C4-C9-C19,"(1, 2, 4, 9, 19)",C1-C2-C4-C9-C19,11.299999803304672,11990,12655.07674217224,2575.174570083618,18656.98194503784,1-2-4-9-19,34.682,12868.54
303,303,C3-C5-C10,18.242208,12964.6875,C3-C5-C10-C18-C20,"(3, 5, 10, 18, 20)",C3-C5-C10-C18-C20,11.089999973773956,11987,12587.588787078856,2539.829969406128,18773.82493019104,3-5-10-18-20,28.126,13177.97
304,304,C1-C4-C5-C9,21.615496,14711.236,C1-C4-C5-C9-C24,"(1, 4, 5, 9, 24)",C1-C4-C5-C9-C24,11.079999804496763,11989,12522.94135093689,2533.1687927246094,18691.155672073364,1-4-5-9-24,31.706,12868.7
305,305,C2-C4-C8,11.996559,13346.812,C2-C4-C8-C21-C24,"(2, 4, 8, 21, 24)",C2-C4-C8-C21-C24,11.20000034570694,11981,12493.611812591553,2524.474859237671,18566.67160987854,2-4-8-21-24,30.024,13137.21
306,306,C6-C9-C10,20.383492,13544.823,C6-C9-C10-C16-C21,"(6, 9, 10, 16, 21)",C6-C9-C10-C16-C21,16.210000216960907,11988,12558.536052703856,2538.642406463623,18543.981790542603,6-9-10-16-21,30.77,13155.42
307,307,C2-C6-C9,15.261749,13349.717,C2-C6-C9-C15-C16,"(2, 6, 9, 15, 16)",C2-C6-C9-C15-C16,14.350000023841858,11989,12514.947175979614,2523.9346027374268,18589.38789367676,2-6-9-15-16,26.664,12738.31
308,308,C4-C5-C6,18.403147,13220.605,C4-C5-C6-C18-C23,"(4, 5, 6, 18, 23)",C4-C5-C6-C18-C23,13.030000030994415,11985,12512.585401535034,2535.6431007385254,18867.780685424805,4-5-6-18-23,23.52,13032.000000000002
309,309,C3-C6-C8,14.819236,12924.865,C3-C6-C8-C20-C21,"(3, 6, 8, 20, 21)",C3-C6-C8-C20-C21,11.569999903440475,11989,12471.558809280396,2530.033588409424,18581.09211921692,3-6-8-20-21,34.332,13038.79
310,310,C3-C6-C7-C9,25.854397,14514.636,C3-C6-C7-C9-C19,"(3, 6, 7, 9, 19)",C3-C6-C7-C9-C19,8.489999920129776,11996,12569.52667236328,2531.236171722412,18752.763986587524,3-6-7-9-19,30.856,12762.17
311,311,C5-C6-C9,19.103645,13449.169,C5-C6-C9-C17-C18,"(5, 6, 9, 17, 18)",C5-C6-C9-C17-C18,11.11999973654747,11991,12583.840131759644,2535.8099937438965,18686.452865600582,5-6-9-17-18,26.628000000000004,13113.03
312,312,C4-C5-C6-C9,25.098316,14505.533,C4-C5-C6-C9-C23,"(4, 5, 6, 9, 23)",C4-C5-C6-C9-C23,12.349999696016312,11990,12563.079595565796,2546.34428024292,18836.36975288391,4-5-6-9-23,27.594,12875.01
313,313,C1-C7-C9,14.663083,12344.548,C1-C7-C9-C18-C19,"(1, 7, 9, 18, 19)",C1-C7-C9-C18-C19,11.089999973773956,11995,12648.566246032717,2554.8036098480225,18690.21058082581,1-7-9-18-19,32.87,12868.06
314,314,C2-C5-C7-C8,20.77799,14240.118,C2-C5-C7-C8-C17,"(2, 5, 7, 8, 17)",C2-C5-C7-C8-C17,12.25000023841858,11992,12595.60227394104,2533.287286758423,18653.393268585205,2-5-7-8-17,21.918,13107.07
315,315,C1-C2-C3-C7,21.76557,13856.405,C1-C2-C3-C7-C23,"(1, 2, 3, 7, 23)",C1-C2-C3-C7-C23,9.40999984741211,11996,12598.46305847168,2538.9108657836914,18650.45952796936,1-2-3-7-23,29.206,12826.77
316,316,C5-C6-C8,17.98196,13187.147,C5-C6-C8-C19-C20,"(5, 6, 8, 19, 20)",C5-C6-C8-C19-C20,14.699999988079073,11989,12415.939331054688,2503.849983215332,18520.865201950077,5-6-8-19-20,28.706,12803.94
317,317,C2-C5-C6,13.974482,12179.523,C2-C5-C6-C15-C18,"(2, 5, 6, 15, 18)",C2-C5-C6-C15-C18,11.739999800920486,11987,12516.618490219116,2526.557445526123,18703.10854911804,2-5-6-15-18,20.11,12760.2
318,318,C2-C3-C4,12.891126,12651.998,C2-C3-C4-C20-C23,"(2, 3, 4, 20, 23)",C2-C3-C4-C20-C23,16.779999434947968,11987,12715.324401855469,2557.537317276001,18967.51642227173,2-3-4-20-23,32.303999999999995,13053.73
319,319,C2-C3-C4,13.531015,12724.743,C2-C3-C4-C22-C23,"(2, 3, 4, 22, 23)",C2-C3-C4-C22-C23,12.759999930858612,11984,12654.654264450071,2564.326286315918,18807.714462280277,2-3-4-22-23,31.514,13081.27
320,320,C1-C2-C7,12.483485,12641.875,C1-C2-C7-C15-C17,"(1, 2, 7, 15, 17)",C1-C2-C7-C15-C17,15.950000286102297,11996,12660.806894302368,2556.806802749634,18626.06239318848,1-2-7-15-17,30.57,13116.29
321,321,C1-C5-C10,14.213926,12281.822,C1-C5-C10-C18-C23,"(1, 5, 10, 18, 23)",C1-C5-C10-C18-C23,10.899999737739565,11990,12685.48059463501,2545.4659461975098,18752.55298614502,1-5-10-18-23,28.76,13133.59
322,322,C4-C6-C7,19.251873,13607.93,C4-C6-C7-C18-C25,"(4, 6, 7, 18, 25)",C4-C6-C7-C18-C25,11.089999973773956,11985,12575.106859207152,2550.5623817443848,18707.95845985413,4-6-7-18-25,23.944,13477.260000000002
323,323,C1-C3-C5,12.912955,12581.356,C1-C3-C5-C20-C24,"(1, 3, 5, 20, 24)",C1-C3-C5-C20-C24,16.56000018119812,11992,12469.392776489258,2543.001890182495,18579.13875579834,1-3-5-20-24,33.221999999999994,12795.28
324,324,C1-C4-C7-C10,23.732828,14804.167,C1-C4-C7-C10-C17,"(1, 4, 7, 10, 17)",C1-C4-C7-C10-C17,11.69999986886978,11989,12551.893949508669,2532.5584411621094,18573.04334640503,1-4-7-10-17,31.74,13636.86
325,325,C1-C6-C10,13.87622,12511.585,C1-C6-C10-C17-C19,"(1, 6, 10, 17, 19)",C1-C6-C10-C17-C19,11.03999987244606,11991,12493.452072143557,2520.2598571777344,18509.61661338806,1-6-10-17-19,35.442,13384.340000000002
326,326,C3-C8-C9-C10,27.505278,14693.837,C3-C8-C9-C10-C25,"(3, 8, 9, 10, 25)",C3-C8-C9-C10-C25,11.089999973773956,11991,12520.886659622192,2520.5070972442627,18484.901428222656,3-8-9-10-25,36.4,13507.03
327,327,C1-C5-C9,13.765984,12430.584,C1-C5-C9-C22-C23,"(1, 5, 9, 22, 23)",C1-C5-C9-C22-C23,11.089999973773956,11994,12438.140392303469,2509.6423625946045,18458.460807800293,1-5-9-22-23,34.408,12778.03
328,328,C1-C4-C9,13.959241,12838.177,C1-C4-C9-C17-C25,"(1, 4, 9, 17, 25)",C1-C4-C9-C17-C25,12.890000641345978,11994,12506.803512573242,2534.5494747161865,18486.545085906982,1-4-9-17-25,40.24999999999999,13646.94
