,Unnamed: 0,Combination,Global_Accuracy(%)_zero,Global_Latency_Sum(ms)_zero,Prediction_Time(s),New_Combination_zero,Numeric_Tuple,New_Combination_sim,Global_Accuracy(%)_sim,Global_DataVolume,Global_Latency_Sum(ms)_sim,Global_RoundTime_Max(ms),Combination_Computation_Time(s),Numerical_Combination,Global_Accuracy(%)_history,Global_Latency_Sum(ms)_history
86,86,C2-C6-C8,44.144710521852375,8864.152500226395,7.367134094238281e-05,C2-C6-C8-C15-C22,"(2, 6, 8, 15, 22)",C2-C6-C8-C15-C22,27.27000117301941,13979,8952.738761901855,1803.9488792419436,12.412,2-6-8-15-22,78.10999999999999,8406.02
87,87,C3-C4-C5,43.97299313952647,9204.525181664734,7.557868957519531e-05,C3-C4-C5-C16-C19,"(3, 4, 5, 16, 19)",C3-C4-C5-C16-C19,32.69000053405762,13991,8807.159662246704,1773.6010551452637,12.333,3-4-5-16-19,88.22,8527.27
88,88,C1-C2-C3-C7,43.37374143001389,10240.531945945462,7.557868957519531e-05,C1-C2-C3-C7-C25,"(1, 2, 3, 7, 25)",C1-C2-C3-C7-C25,53.09000015258789,13994,8764.152526855469,1763.2687091827393,12.227,1-2-3-7-25,84.37199999999999,8397.57
89,89,C5-C8-C9,43.21268824881958,10189.014217693735,7.367134094238281e-05,C5-C8-C9-C20-C25,"(5, 8, 9, 20, 25)",C5-C8-C9-C20-C25,54.14999723434448,13988,8772.363662719727,1767.5104141235352,12.163,5-8-9-20-25,88.232,8726.68
90,90,C1-C5-C7-C9,47.537524563343766,10622.322121330282,7.414817810058594e-05,C1-C5-C7-C9-C17,"(1, 5, 7, 9, 17)",C1-C5-C7-C9-C17,35.339999198913574,14000,8807.96766281128,1774.7695446014404,12.186,1-5-7-9-17,87.55199999999999,8567.189999999999
91,91,C1-C7-C8-C10,49.5517846542552,10590.26881707882,7.510185241699219e-05,C1-C7-C8-C10-C20,"(1, 7, 8, 10, 20)",C1-C7-C8-C10-C20,47.06999957561493,13983,8765.761375427246,1766.0856246948242,12.098,1-7-8-10-20,87.292,8692.51
92,92,C1-C2-C4-C9,43.14440019688799,10324.295980374129,7.390975952148438e-05,C1-C2-C4-C9-C21,"(1, 2, 4, 9, 21)",C1-C2-C4-C9-C21,42.910000681877136,13989,8759.865999221802,1771.0232734680176,12.202,1-2-4-9-21,86.684,8425.279999999999
93,93,C1-C5-C10,41.26276436454141,8662.188572292165,0.0001142024993896,C1-C5-C10-C19-C25,"(1, 5, 10, 19, 25)",C1-C5-C10-C19-C25,48.42999875545502,13995,8731.713771820068,1759.1571807861328,12.204,1-5-10-19-25,89.314,8577.25
94,94,C1-C2-C8,37.69566238304573,8410.594379035841,0.0001204013824462,C1-C2-C8-C21-C23,"(1, 2, 8, 21, 23)",C1-C2-C8-C21-C23,27.52000093460083,13989,8717.381238937378,1759.38081741333,12.113,1-2-8-21-23,87.796,8453.439999999999
95,95,C6-C7-C10,40.98378143000076,10866.995816972914,7.700920104980469e-05,C6-C7-C10-C22-C24,"(6, 7, 10, 22, 24)",C6-C7-C10-C22-C24,34.63999927043915,13980,8748.908281326294,1767.745018005371,12.166,6-7-10-22-24,77.71000000000001,8426.97
96,96,C2-C3-C6,40.07879233904272,9081.42231999011,7.43865966796875e-05,C2-C3-C6-C17-C24,"(2, 3, 6, 17, 24)",C2-C3-C6-C17-C24,42.30000078678131,13984,8805.901288986206,1771.9573974609375,12.233,2-3-6-17-24,78.72999999999999,8391.45
97,97,C3-C4-C5,42.46777160419863,9188.668455147308,7.462501525878906e-05,C3-C4-C5-C17-C23,"(3, 4, 5, 17, 23)",C3-C4-C5-C17-C23,47.87000119686127,13995,8788.698196411133,1775.6459712982178,12.258,3-4-5-17-23,88.684,8533.36
98,98,C3-C4-C5,45.070499450603215,9048.673729299026,7.510185241699219e-05,C3-C4-C5-C15-C16,"(3, 4, 5, 15, 16)",C3-C4-C5-C15-C16,40.90999960899353,13991,8775.357723236084,1773.9458084106443,12.256,3-4-5-15-16,88.14599999999999,8518.59
99,99,C2-C4-C6,40.77179817149507,9133.126456933836,7.581710815429688e-05,C2-C4-C6-C19-C24,"(2, 4, 6, 19, 24)",C2-C4-C6-C19-C24,51.0699987411499,13979,11996.103525161743,4934.053182601929,15.54,2-4-6-19-24,78.55999999999999,8374.130000000001
100,100,C5-C8-C10,46.167592820687446,10299.078061085993,7.414817810058594e-05,C5-C8-C10-C19-C22,"(5, 8, 10, 19, 22)",C5-C8-C10-C19-C22,22.190000116825104,13985,8983.258962631226,1820.1885223388672,12.463,5-8-10-19-22,85.776,8584.93
101,101,C2-C3-C5-C10,52.068511344854414,10254.387925794388,7.43865966796875e-05,C2-C3-C5-C10-C17,"(2, 3, 5, 10, 17)",C2-C3-C5-C10-C17,22.39000052213669,13989,8918.767929077148,1794.6839332580566,12.474,2-3-5-10-17,83.192,8576.48
102,102,C2-C5-C8,47.37268677795309,8673.220850057418,7.534027099609375e-05,C2-C5-C8-C15-C18,"(2, 5, 8, 15, 18)",C2-C5-C8-C15-C18,46.57999873161316,13984,8873.865842819214,1785.653829574585,12.368,2-5-8-15-18,83.816,8528.880000000001
103,103,C4-C9-C10,46.95825093904888,9897.038866916886,7.390975952148438e-05,C4-C9-C10-C17-C19,"(4, 9, 10, 17, 19)",C4-C9-C10-C17-C19,62.45999932289124,13990,8877.55036354065,1799.245834350586,12.301,4-9-10-17-19,90.32,8446.32
104,104,C1-C5-C6,38.00676593268888,8505.94332407229,0.0001041889190673,C1-C5-C6-C17-C19,"(1, 5, 6, 17, 19)",C1-C5-C6-C17-C19,38.10000121593475,13995,8938.493967056274,1810.331344604492,12.412,1-5-6-17-19,84.356,8572.29
105,105,C2-C3-C7,46.15024104018213,8586.663082788164,7.748603820800781e-05,C2-C3-C7-C16-C19,"(2, 3, 7, 16, 19)",C2-C3-C7-C16-C19,23.98000061511993,13990,8817.338943481445,1773.5488414764404,12.248,2-3-7-16-19,83.93599999999999,8408.11
106,106,C1-C3-C8-C9,50.5866354285382,10377.945720579077,7.462501525878906e-05,C1-C3-C8-C9-C16,"(1, 3, 8, 9, 16)",C1-C3-C8-C9-C16,52.53000259399414,13991,8756.209373474121,1779.4487476348877,12.161,1-3-8-9-16,91.178,8445.48
107,107,C2-C4-C5,42.32884999549797,9133.374002881736,7.390975952148438e-05,C2-C4-C5-C15-C24,"(2, 4, 5, 15, 24)",C2-C4-C5-C15-C24,22.54000008106232,13984,8801.435470581055,1780.7905673980713,12.302,2-4-5-15-24,82.268,8494.44
108,108,C1-C2-C8-C10,45.98868200627199,10060.187829974324,7.486343383789062e-05,C1-C2-C8-C10-C19,"(1, 2, 8, 10, 19)",C1-C2-C8-C10-C19,52.13000178337097,13984,8755.526065826416,1767.4384117126465,12.127,1-2-8-10-19,86.33800000000001,8481.359999999999
109,109,C4-C5-C7-C10,50.10736785380971,10837.98019520077,9.1552734375e-05,C4-C5-C7-C10-C19,"(4, 5, 7, 10, 19)",C4-C5-C7-C10-C19,42.14999973773956,13990,8784.491300582886,1781.9902896881104,12.21,4-5-7-10-19,85.364,8556.1
