New_Combination,Predicted_Accuracy(%),Predicted_DataVolume,Predicted_Latency_Sum(ms),Predicted_RoundTime_Max(ms),Numerical_Combination,ZeroShot_Accuracy(%),ZeroShot_DataVolume,ZeroShot_Latency_Sum(ms),ZeroShot_RoundTime_Max(ms),Combo_Set,Historical_Combination,Historical_Accuracy,Historical_DataVolume,Historical_Latency,Historical_RoundTime
C6-C9-C10-C20-C21,12.290000170469284,11986,4988.178014755249,1011.9359493255616,6-9-10-20-21,11.681948,12233.823,66345.07,16610.69,"{'C20', 'C21', 'C9', 'C6', 'C10'}",C6-C10,10.260000079870224,4790.0,,11017.77482032776
C6-C9-C10-C20-C21,12.290000170469284,11986,4988.178014755249,1011.9359493255616,6-9-10-20-21,11.681948,12233.823,66345.07,16610.69,"{'C20', 'C21', 'C9', 'C6', 'C10'}",C9-C10,18.41000020503997,4793.0,,15963.633060455322
C6-C9-C10-C20-C21,12.290000170469284,11986,4988.178014755249,1011.9359493255616,6-9-10-20-21,11.681948,12233.823,66345.07,16610.69,"{'C20', 'C21', 'C9', 'C6', 'C10'}",C6-C9-C10,12.680000066757202,7190.0,,15963.633060455322
C4-C9-C10-C15-C23,9.25000011920929,11990,4994.095087051392,1008.0389976501464,4-9-10-15-23,12.141256,12072.35,63148.4,15960.796,"{'C4', 'C23', 'C15', 'C9', 'C10'}",C4-C9,13.680000603199003,4795.0,,15963.633060455322
C4-C9-C10-C15-C23,9.25000011920929,11990,4994.095087051392,1008.0389976501464,4-9-10-15-23,12.141256,12072.35,63148.4,15960.796,"{'C4', 'C23', 'C15', 'C9', 'C10'}",C4-C10,13.40000033378601,4788.0,,9668.248653411863
C4-C9-C10-C15-C23,9.25000011920929,11990,4994.095087051392,1008.0389976501464,4-9-10-15-23,12.141256,12072.35,63148.4,15960.796,"{'C4', 'C23', 'C15', 'C9', 'C10'}",C9-C10,18.41000020503997,4793.0,,15963.633060455322
C4-C9-C10-C15-C23,9.25000011920929,11990,4994.095087051392,1008.0389976501464,4-9-10-15-23,12.141256,12072.35,63148.4,15960.796,"{'C4', 'C23', 'C15', 'C9', 'C10'}",C4-C9-C10,11.339999735355375,7188.0,,15963.633060455322
C1-C6-C7-C24-C25,13.1400004029274,11988,4954.510688781738,1014.2257213592528,1-6-7-24-25,12.184216,11792.8125,61063.613,15658.489,"{'C25', 'C1', 'C7', 'C24', 'C6'}",C1-C6,18.950000405311584,4797.0,,11987.98441886902
C1-C6-C7-C24-C25,13.1400004029274,11988,4954.510688781738,1014.2257213592528,1-6-7-24-25,12.184216,11792.8125,61063.613,15658.489,"{'C25', 'C1', 'C7', 'C24', 'C6'}",C1-C7,12.0899997651577,4800.0,,12736.55891418457
C1-C6-C7-C24-C25,13.1400004029274,11988,4954.510688781738,1014.2257213592528,1-6-7-24-25,12.184216,11792.8125,61063.613,15658.489,"{'C25', 'C1', 'C7', 'C24', 'C6'}",C6-C7,12.720000743865969,4797.0,,12736.55891418457
C1-C6-C7-C24-C25,13.1400004029274,11988,4954.510688781738,1014.2257213592528,1-6-7-24-25,12.184216,11792.8125,61063.613,15658.489,"{'C25', 'C1', 'C7', 'C24', 'C6'}",C1-C6-C7,13.359999656677246,7197.0,,12736.55891418457
C4-C8-C15-C20-C25,11.720000207424164,11988,4923.666000366211,997.2043037414552,4-8-15-20-25,12.500222,12060.214,66563.17,17078.584,"{'C4', 'C25', 'C8', 'C20', 'C15'}",C4-C8,10.490000247955322,4791.0,,14680.899620056152
C5-C7-C9-C15-C22,10.199999809265137,11994,5697.953462600708,1761.8892192840576,5-7-9-15-22,12.826007,12467.357,66654.375,16402.033,"{'C5', 'C22', 'C15', 'C7', 'C9'}",C5-C7,11.659999936819077,4800.0,,12736.55891418457
